DocNr,%
5179,0.11732894
5194,0.10315927
5201,0.1540557
5203,0.19757126
5208,0.27923366
5209,0.31217685
5216,0.11004158
5222,0.11631048
5223,0.26137036
5227,0.12628958
5228,0.12628953
5238,0.12121606
5240,0.1341833
5270,0.12961766
5271,0.100678176
5283,0.11783577
5285,0.16846715
5286,0.1277658
5290,0.14129008
5306,0.2641604
5346,0.14163217
5352,0.1584281
5356,0.45924297
5363,0.13253966
5376,0.28280032
5392,0.20360936
5397,0.22150487
5400,0.33285892
5948,0.109095715
6478,0.1918423
6494,0.46389386
6506,0.36037695
6524,0.21645513
6536,0.10300135
6548,0.111691006
6549,0.29612166
6552,0.15946211
6576,0.15380001
6771,0.1703943
6831,0.16294912
6841,0.14146863
6843,0.2258332
6844,0.13772018
6847,0.18625388
6848,0.14720623
6849,0.10162636
6850,0.12775296
6854,0.11748321
6865,0.20705926
6867,0.11576831
6869,0.20027114
6873,0.13158982
6875,0.18162921
6876,0.21296741
6882,0.14533263
6892,0.26736775
6907,0.25393456
7139,0.17545794
7208,0.13263433
7212,0.220186
7215,0.31846857
7220,0.14130919
7350,0.2879364
7656,0.1338276
7673,0.1567305
7961,0.20780416
8257,0.17893918
8284,0.14443707
8287,0.21472685
8288,0.19550197
8290,0.15042976
8291,0.10955353
8292,0.119767115
8294,0.1245734
8295,0.119676
8297,0.13798401
8306,0.1328003
8316,0.11284718
8317,0.1564498
8340,0.121367596
8343,0.16210134
8354,0.1428852
8362,0.10102354
8366,0.17033325
8374,0.117134854
8376,0.19032098
8388,0.16958654
8391,0.101857215
8420,0.1443631
8430,0.20776811
8436,0.106541425
8437,0.1546729
8446,0.11293782
8447,0.15795891
8451,0.13053797
8455,0.13218726
8456,0.36608505
8459,0.12507854
8465,0.15362708
8466,0.11295088
8468,0.10346
8471,0.1006499
8620,0.11685165
8627,0.21130823
8665,0.21518815
8725,0.23969573
8737,0.13371561
8831,0.20029947
8845,0.2152733
8850,0.17686833
8863,0.1544272
8867,0.24428493
8869,0.17571163
8878,0.113367565
8882,0.1405896
8883,0.17646828
8885,0.119047046
8886,0.11894833
8888,0.23519564
8892,0.17450042
8893,0.116284564
8898,0.11867654
8899,0.18732053
8915,0.12680219
8918,0.17921051
8967,0.18800607
9016,0.247696
9017,0.20456612
9024,0.20875639
9032,0.23909461
9034,0.1439688
9040,0.21204719
9041,0.13068487
9042,0.13042156
9043,0.1730306
9045,0.30713797
9049,0.14461794
9057,0.55531067
9069,0.17847787
9072,0.38962272
