Dokument-ID,Datum,Quelle,Titel
6724,27.04.2020,wirtschaftswoche,Wegen Corona-Pandemie.  Adidas verliert 97 Prozent seines Gewinns
6730,23.04.2020,wirtschaftswoche,Sportartikelkonzern.  Adidas will KfW-Milliardenkredit angeblich mit Anleihe ablösen 
6744,21.04.2020,wirtschaftswoche, Die Corona-App ist eine große Illusion
6767,16.04.2020,wirtschaftswoche, Nach Silvester sind ja auch nicht alle schlank
6775,15.04.2020,wirtschaftswoche,Drastische Maßnahme.  Trump dreht der WHO den Geldhahn zu 
6779,11.04.2020,wirtschaftswoche,Verkehrsdaten.  Diese zwei Städte scheinen immun gegen Corona 
6794,08.04.2020,wirtschaftswoche, Du glückliches Österreich
6796,07.04.2020,wirtschaftswoche,Corona und 5G.  Sturm der Aluhüte
6797,06.04.2020,wirtschaftswoche,"Die andere Seite der Coronakrise.  Nachrichten, die wieder Mut machen "
6804,04.04.2020,wirtschaftswoche,Helden Contra Corona – Erfahrungsbericht #14.  „Alle Mitarbeiter müssen sich vor der Arbeit die Haare waschen“
6812,01.04.2020,wirtschaftswoche,Öffentliches Leben mit digitaler Kontrolle.  Was eine Corona-App leisten muss 
6813,01.04.2020,wirtschaftswoche,"Krankenhäuser im Ausnahmezustand.  „Wir kaufen ein, was wir kriegen können“ "
6824,30.01.2020,wirtschaftswoche,Luftfahrt.  Warum Airlines kaum unter dem Corona-Virus leiden 
6832,29.01.2020,wirtschaftswoche,Autozulieferer.  Webasto schließt Zentrale wegen Virusgefahr 
6833,29.01.2020,wirtschaftswoche,Coronavirus.  Lufthansa streicht alle Flüge von und nach China 
6843,28.01.2020,wirtschaftswoche,Autozulieferer.  Coronavirus: Webasto bietet Mitarbeitern in Stockdorf Homeoffice an 
6846,28.01.2020,wirtschaftswoche,"Coronavirus.  „Wenn sich die Lage verschärft, sind wir weg hier“ "
6848,28.01.2020,wirtschaftswoche,Infizierter Mitarbeiter.  Coronavirus-Fall beim Autozulieferer Webasto 
6849,28.01.2020,wirtschaftswoche,Lungenkrankheit.  33-jähriger Deutscher erkrankt an Coronavirus – Gefahr bleibt hierzulande weiter gering
6850,28.01.2020,wirtschaftswoche,"SAP, Honda, McDonald's, Starbucks.  Coronavirus: So reagieren internationale Firmen in China "
6851,27.01.2020,wirtschaftswoche,Coronavirus in China.  Deutsche Firmen in Wuhan setzen auf Prävention 
6855,27.01.2020,wirtschaftswoche,"Dow Jones, Nasdaq, S&P 500.  Angst vor Coronavirus hält US-Börsen im Griff"
6856,28.01.2020,wirtschaftswoche,"Nikkei, Topix & Co.  Furcht vor Folgen des Coronavirus lässt asiatische Börsen weiter fallen "
6867,23.01.2020,wirtschaftswoche,Coronavirus.  Was die neue Lungenkrankheit für Chinas Wirtschaft bedeutet 
6871,23.01.2020,wirtschaftswoche,Neues Coronavirus.  Schaeffler verhängt Reiseverbot nach China 
6875,23.01.2020,wirtschaftswoche,Öl.  Ölpreise geben deutlich nach – Sorge um Lungenkrankheit in China 
6877,23.01.2020,wirtschaftswoche,"Nikkei, Topix und Co.  Coronavirus verunsichert asiatische Anleger "
6878,23.01.2020,wirtschaftswoche,Viren-Infektion.  Impfstoff gegen Coronavirus wohl frühestens in einem Jahr verfügbar 
6883,21.01.2020,wirtschaftswoche,"Nikkei, Topix & Co.  Sorgen vor steigendem Virus-Risiko belasten asiatische Börsen "
6888,22.01.2020,wirtschaftswoche,"Nikkei, Topix & Co.  Virusausbruch bremst Hoch der asiatische Börsen "
6894,20.01.2020,wirtschaftswoche,Coronavirus.  Mysteriöse Lungenkrankheit breitet sich aus – Erste Erkrankungen außerhalb Chinas 
6909,19.01.2020,wirtschaftswoche,Coronavirus.  Mysteriöse Lungenkrankheit in China: Ausmaß wohl deutlich größer als bisher angenommen 
7080,17.06.2021,wirtschaftswoche,"Warten auf den Impfstoff.  Vier Gründe, warum Curevac in Rückstand geraten ist "
7131,06.06.2021,wirtschaftswoche,USA.  Donald Trump deutet erneute Präsidentschaftskandidatur an 
7210,16.06.2020,wirtschaftswoche,Corona-Ausbruch in Peking.  Warum deutsche Firmen jetzt ganz genau hinschauen 
